FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
F0098,BLR-HYD,Bengaluru,Hyderabad,2026-01-19,170,Airbus A320,180,156,2087436,1959207
F0099,BLR-HYD,Bengaluru,Hyderabad,2026-10-30,257,Airbus A320,290,254,2674874,2742602
F0100,DEL-BLR,Delhi,Bengaluru,2026-02-06,240,Airbus A321,290,160,2528640,2387485
F0101,BOM-DEL,Mumbai,Delhi,2026-03-31,275,Airbus A320,220,124,675676,488245
F0102,BOM-SIN,Mumbai,Singapore,2026-07-20,284,Airbus A320,180,106,1172678,1037650
F0103,DEL-DXB,Delhi,Dubai,2026-06-18,288,Boeing 787,189,89,481490,404901
F0104,BOM-DEL,Mumbai,Delhi,2026-02-27,145,Airbus A320,180,118,1000168,1079350
F0105,DEL-BLR,Delhi,Bengaluru,2026-05-29,101,Airbus A321,290,273,2165436,1373370
F0106,BOM-DEL,Mumbai,Delhi,2026-03-30,124,Airbus A321,180,103,1731018,1059096
F0107,BLR-HYD,Bengaluru,Hyderabad,2026-05-02,143,Boeing 787,220,191,1952975,1260404
F0108,DEL-DXB,Delhi,Dubai,2026-09-07,289,Boeing 787,189,117,1755585,1860672
F0109,BOM-SIN,Mumbai,Singapore,2026-01-11,277,Airbus A320,290,232,2251560,2279121
F0110,BOM-SIN,Mumbai,Singapore,2026-11-14,208,Boeing 787,189,163,1143934,1238187
F0111,DEL-DXB,Delhi,Dubai,2026-03-07,179,ATR 72,72,58,988320,628812
F0112,MAA-BOM,Chennai,Mumbai,2026-09-11,228,Boeing 737,180,159,2517129,1849759
F0113,MAA-BOM,Chennai,Mumbai,2026-06-03,67,Airbus A320,189,119,778022,613989
F0114,DEL-BLR,Delhi,Bengaluru,2026-12-29,186,Airbus A320,189,167,826149,724961
F0115,DEL-BLR,Delhi,Bengaluru,2026-10-09,89,Airbus A320,180,150,601200,434748
F0116,BLR-HYD,Bengaluru,Hyderabad,2026-12-28,142,Boeing 737,180,82,922418,761519
F0117,BLR-HYD,Bengaluru,Hyderabad,2026-06-15,125,Airbus A320,180,161,1143583,777661
F0118,BOM-SIN,Mumbai,Singapore,2026-11-18,113,ATR 72,72,44,551672,567566
F0119,DEL-DXB,Delhi,Dubai,2026-07-13,104,Airbus A320,290,237,2000280,1649984
F0120,BOM-SIN,Mumbai,Singapore,2026-12-15,111,ATR 72,72,38,499168,449426
F0121,BOM-SIN,Mumbai,Singapore,2026-05-28,149,Airbus A320,220,141,648177,539484
F0122,MAA-BOM,Chennai,Mumbai,2026-10-09,284,Airbus A321,180,145,2478775,1759715
F0123,BLR-HYD,Bengaluru,Hyderabad,2026-12-05,253,Airbus A321,220,160,2278400,2173922
F0124,BOM-SIN,Mumbai,Singapore,2026-01-05,284,Boeing 787,290,208,2563808,1705718
F0125,HYD-MAA,Hyderabad,Chennai,2026-02-07,130,Boeing 787,189,175,1710450,1489688
F0126,CCU-DEL,Kolkata,Delhi,2026-04-15,173,Airbus A321,220,184,2211496,2090136
F0127,BOM-DEL,Mumbai,Delhi,2026-02-21,262,Boeing 787,290,142,1658986,1505077
F0128,HYD-MAA,Hyderabad,Chennai,2026-11-25,173,Boeing 737,220,164,2717152,2753700
F0129,MAA-BOM,Chennai,Mumbai,2026-06-15,233,Airbus A320,290,257,1346166,1130392
F0130,DEL-DXB,Delhi,Dubai,2026-03-14,225,Boeing 787,180,107,1327870,1203097
F0131,BOM-SIN,Mumbai,Singapore,2026-07-22,232,ATR 72,72,70,350210,278256
F0132,MAA-BOM,Chennai,Mumbai,2026-01-27,256,Boeing 787,180,94,678210,441902
F0133,BLR-HYD,Bengaluru,Hyderabad,2026-07-21,72,Airbus A321,220,142,1983314,1803698
F0134,DEL-BLR,Delhi,Bengaluru,2026-09-05,240,Airbus A321,189,186,3289410,2315534
F0135,BOM-DEL,Mumbai,Delhi,2026-08-27,156,ATR 72,72,39,456105,417806
F0136,HYD-MAA,Hyderabad,Chennai,2026-06-26,260,Boeing 737,290,202,1217050,947169
F0137,DEL-DXB,Delhi,Dubai,2026-01-02,70,Airbus A320,290,135,654750,710860
F0138,BOM-DEL,Mumbai,Delhi,2026-04-30,94,Airbus A321,290,218,3708834,3118372
F0139,CCU-DEL,Kolkata,Delhi,2026-08-10,74,Boeing 737,189,158,2272830,2199859
F0140,CCU-DEL,Kolkata,Delhi,2026-06-04,228,Airbus A321,290,280,4420640,3741481
F0141,BOM-DEL,Mumbai,Delhi,2026-05-03,229,ATR 72,72,61,798673,689664
F0142,DEL-BLR,Delhi,Bengaluru,2026-12-20,152,Airbus A321,180,177,2433573,2673245
F0143,CCU-DEL,Kolkata,Delhi,2026-07-06,75,ATR 72,72,66,380622,258887
F0144,MAA-BOM,Chennai,Mumbai,2026-01-17,76,ATR 72,72,39,293007,301682
F0145,BOM-DEL,Mumbai,Delhi,2026-10-06,194,Boeing 737,189,186,1719942,1348564
F0146,BOM-DEL,Mumbai,Delhi,2026-02-22,206,Boeing 787,189,91,1414140,1134326
F0147,BOM-DEL,Mumbai,Delhi,2026-10-06,253,Airbus A321,290,242,1756920,1552809
F0148,BOM-SIN,Mumbai,Singapore,2026-01-20,173,Airbus A320,290,164,2787508,2539744
F0149,CCU-DEL,Kolkata,Delhi,2026-05-22,157,Airbus A321,290,283,2242209,2150664
F0150,MAA-BOM,Chennai,Mumbai,2026-01-01,296,Airbus A321,189,104,1762592,1069414
F0151,BOM-DEL,Mumbai,Delhi,2026-02-11,295,Boeing 737,189,146,598308,523834
F0152,CCU-DEL,Kolkata,Delhi,2026-12-16,107,Boeing 737,189,136,1473016,941499
F0153,BOM-SIN,Mumbai,Singapore,2026-01-29,141,ATR 72,72,50,363900,252321
F0154,BLR-HYD,Bengaluru,Hyderabad,2026-01-07,230,Boeing 787,189,118,1809412,1256571
F0155,BOM-DEL,Mumbai,Delhi,2026-04-20,162,Airbus A321,189,118,1860742,1394146
F0156,HYD-MAA,Hyderabad,Chennai,2026-01-20,264,Airbus A320,189,97,1020925,953972
F0157,MAA-BOM,Chennai,Mumbai,2026-07-15,269,Airbus A321,290,255,1211250,778157
F0158,DEL-BLR,Delhi,Bengaluru,2026-03-14,231,Airbus A321,189,98,1368276,1375403
F0159,BOM-SIN,Mumbai,Singapore,2026-10-23,155,Boeing 787,189,184,3138672,3293199
F0160,CCU-DEL,Kolkata,Delhi,2026-07-14,120,ATR 72,72,55,330715,227147
F0161,HYD-MAA,Hyderabad,Chennai,2026-02-14,106,Boeing 787,180,174,2429910,2233182
F0162,DEL-BLR,Delhi,Bengaluru,2026-08-10,210,ATR 72,72,51,569619,357554
F0163,BOM-DEL,Mumbai,Delhi,2026-03-29,249,Airbus A320,180,136,1388696,1477618
F0164,BOM-DEL,Mumbai,Delhi,2026-12-19,170,ATR 72,72,48,626736,555591
F0165,MAA-BOM,Chennai,Mumbai,2026-09-21,273,ATR 72,72,40,597320,555968
F0166,BOM-DEL,Mumbai,Delhi,2026-08-28,275,Boeing 737,180,139,1770582,1188696
F0167,BOM-SIN,Mumbai,Singapore,2026-04-24,185,Boeing 737,290,170,1045500,924328
F0168,MAA-BOM,Chennai,Mumbai,2026-08-14,119,Airbus A321,189,125,1864875,1961174
F0169,BOM-SIN,Mumbai,Singapore,2026-05-17,222,Boeing 737,189,157,1656821,1182156
F0170,DEL-DXB,Delhi,Dubai,2026-02-02,239,Boeing 737,180,123,788553,848708
F0171,DEL-DXB,Delhi,Dubai,2026-05-26,151,Airbus A321,220,106,1114696,746171
F0172,HYD-MAA,Hyderabad,Chennai,2026-03-24,68,Boeing 737,220,198,2774376,2828284
F0173,BOM-SIN,Mumbai,Singapore,2026-10-07,282,Airbus A321,220,216,1196208,1233688
F0174,BLR-HYD,Bengaluru,Hyderabad,2026-01-26,286,Airbus A320,290,188,1365632,1146818
F0175,MAA-BOM,Chennai,Mumbai,2026-07-24,127,ATR 72,72,60,402900,264974
F0176,BLR-HYD,Bengaluru,Hyderabad,2026-09-17,297,Airbus A321,180,127,1603502,1060616
F0177,MAA-BOM,Chennai,Mumbai,2026-07-11,113,Boeing 737,220,169,2233504,1549081
F0178,BLR-HYD,Bengaluru,Hyderabad,2026-03-23,289,Boeing 787,290,137,1287526,1256711
F0179,DEL-BLR,Delhi,Bengaluru,2026-04-03,248,ATR 72,72,44,430188,458607
F0180,BOM-DEL,Mumbai,Delhi,2026-06-16,241,Airbus A321,220,115,1033160,832126
F0181,BLR-HYD,Bengaluru,Hyderabad,2026-01-10,201,Boeing 737,220,150,1976850,1408213
F0182,HYD-MAA,Hyderabad,Chennai,2026-09-27,217,Boeing 737,180,175,2719150,1765801
F0183,BLR-HYD,Bengaluru,Hyderabad,2026-04-27,151,Boeing 737,180,107,1284428,1114439
F0184,DEL-DXB,Delhi,Dubai,2026-05-15,85,ATR 72,72,36,325656,306217
F0185,DEL-BLR,Delhi,Bengaluru,2026-08-07,191,Airbus A320,180,139,1862044,1723026
F0186,BOM-DEL,Mumbai,Delhi,2026-08-01,229,Boeing 737,180,86,1129868,798602
F0187,MAA-BOM,Chennai,Mumbai,2026-09-17,276,Boeing 737,189,180,2170260,1422158
F0188,HYD-MAA,Hyderabad,Chennai,2026-08-14,210,Boeing 787,220,136,1300296,853483
F0189,CCU-DEL,Kolkata,Delhi,2026-05-29,97,Boeing 787,220,158,1971840,2081795
F0190,MAA-BOM,Chennai,Mumbai,2026-07-17,181,Airbus A320,180,125,1214250,1051672
F0191,BOM-DEL,Mumbai,Delhi,2026-05-24,221,Airbus A320,180,139,847344,738504
F0192,CCU-DEL,Kolkata,Delhi,2026-04-10,166,Boeing 737,189,155,1216440,1197415
F0193,CCU-DEL,Kolkata,Delhi,2026-07-11,275,ATR 72,72,33,567996,456217
F0194,CCU-DEL,Kolkata,Delhi,2026-09-17,64,Boeing 787,290,175,798175,481423
F0195,CCU-DEL,Kolkata,Delhi,2026-10-15,211,Airbus A321,180,166,1348418,1435550
F0196,CCU-DEL,Kolkata,Delhi,2026-06-04,264,Airbus A320,180,91,1155427,989717
F0197,DEL-DXB,Delhi,Dubai,2026-10-20,257,Boeing 787,220,150,2134500,1694464
F0198,BOM-SIN,Mumbai,Singapore,2026-12-01,283,Airbus A320,180,168,2227344,2205430
F0199,MAA-BOM,Chennai,Mumbai,2026-08-02,90,Boeing 737,290,164,1575220,1430402
F0200,CCU-DEL,Kolkata,Delhi,2026-10-04,268,Boeing 737,180,82,901590,715820
F0201,BOM-DEL,Mumbai,Delhi,2026-03-15,142,Boeing 787,180,127,1523492,1107862
F0202,BOM-DEL,Mumbai,Delhi,2026-01-16,76,ATR 72,72,34,337926,323354
F0203,CCU-DEL,Kolkata,Delhi,2026-01-11,275,Airbus A321,220,120,1115040,906733
F0204,BOM-DEL,Mumbai,Delhi,2026-10-14,169,ATR 72,72,47,206424,145302
F0205,DEL-DXB,Delhi,Dubai,2026-01-20,133,Boeing 737,189,111,1893216,2049331
F0206,BOM-SIN,Mumbai,Singapore,2026-02-07,133,Airbus A321,189,172,1067088,796189
F0207,BLR-HYD,Bengaluru,Hyderabad,2026-08-19,82,Boeing 787,180,176,2072928,1787090
F0208,MAA-BOM,Chennai,Mumbai,2026-10-13,169,Boeing 737,290,263,1265819,1315577
F0209,BOM-DEL,Mumbai,Delhi,2026-12-16,85,Airbus A320,220,218,1017406,848039
F0210,DEL-BLR,Delhi,Bengaluru,2026-04-09,274,Boeing 737,189,177,2270733,2223603
F0211,MAA-BOM,Chennai,Mumbai,2026-12-12,283,Boeing 737,189,85,358275,317776
F0212,BLR-HYD,Bengaluru,Hyderabad,2026-09-21,227,ATR 72,72,68,422076,453670
F0213,DEL-DXB,Delhi,Dubai,2026-04-07,152,ATR 72,72,40,265160,217677
F0214,BOM-DEL,Mumbai,Delhi,2026-03-12,166,Airbus A321,189,118,532534,464180
F0215,DEL-DXB,Delhi,Dubai,2026-04-05,249,Boeing 737,220,117,516438,469286
F0216,MAA-BOM,Chennai,Mumbai,2026-04-01,211,Boeing 737,180,84,1094604,1021542
F0217,BLR-HYD,Bengaluru,Hyderabad,2026-04-12,294,Airbus A321,290,192,3037824,2689746
F0218,BOM-DEL,Mumbai,Delhi,2026-05-06,120,ATR 72,72,49,516754,508335
F0219,BOM-DEL,Mumbai,Delhi,2026-09-19,299,Airbus A321,189,155,2448690,1836737
F0220,MAA-BOM,Chennai,Mumbai,2026-07-27,171,Airbus A321,189,93,1379190,1360540
F0221,MAA-BOM,Chennai,Mumbai,2026-06-22,231,ATR 72,72,37,550449,523650
F0222,BLR-HYD,Bengaluru,Hyderabad,2026-11-14,80,ATR 72,72,33,387123,262457
F0223,BOM-SIN,Mumbai,Singapore,2026-06-22,115,Boeing 737,189,108,1108620,1193245
F0224,HYD-MAA,Hyderabad,Chennai,2026-01-22,203,Boeing 787,180,130,1603810,1124449
F0225,CCU-DEL,Kolkata,Delhi,2026-08-02,271,Airbus A320,189,163,1046786,787864
F0226,CCU-DEL,Kolkata,Delhi,2026-07-29,231,Airbus A320,220,185,2872125,3117526
F0227,HYD-MAA,Hyderabad,Chennai,2026-02-08,228,Airbus A320,290,259,3289559,3164106
F0228,BOM-DEL,Mumbai,Delhi,2026-10-17,139,Airbus A320,290,262,2325774,2028487
F0229,DEL-BLR,Delhi,Bengaluru,2026-07-14,168,Boeing 787,290,273,1414959,1029619
F0230,MAA-BOM,Chennai,Mumbai,2026-08-01,110,Boeing 737,290,180,2024820,1792845
F0231,MAA-BOM,Chennai,Mumbai,2026-05-18,119,Airbus A321,189,107,599628,623111
F0232,MAA-BOM,Chennai,Mumbai,2026-01-19,71,Boeing 787,189,100,1336400,1182829
F0233,HYD-MAA,Hyderabad,Chennai,2026-06-13,168,Airbus A321,220,177,2369322,2110866
F0234,MAA-BOM,Chennai,Mumbai,2026-05-04,259,Airbus A321,290,238,3396498,2784277
F0235,CCU-DEL,Kolkata,Delhi,2026-05-04,255,Boeing 787,220,215,2260510,1967653
F0236,BOM-DEL,Mumbai,Delhi,2026-05-26,249,Airbus A320,290,222,2483958,1527366
F0237,BLR-HYD,Bengaluru,Hyderabad,2026-02-19,264,Airbus A321,189,109,590235,376870
F0238,HYD-MAA,Hyderabad,Chennai,2026-06-08,278,Boeing 787,220,197,930825,563344
F0239,MAA-BOM,Chennai,Mumbai,2026-09-11,74,Boeing 737,290,228,3583704,2317079
F0240,BOM-SIN,Mumbai,Singapore,2026-03-24,150,Airbus A321,220,190,3381050,3537309
F0241,DEL-DXB,Delhi,Dubai,2026-08-19,246,Airbus A321,290,137,1226972,955782
F0242,CCU-DEL,Kolkata,Delhi,2026-10-09,100,ATR 72,72,61,956175,927169
F0243,CCU-DEL,Kolkata,Delhi,2026-05-16,205,Boeing 787,189,160,1043840,1049257
F0244,BLR-HYD,Bengaluru,Hyderabad,2026-05-12,222,Airbus A321,290,252,2540160,2585934
F0245,CCU-DEL,Kolkata,Delhi,2026-09-17,95,ATR 72,72,58,280314,239220
F0246,HYD-MAA,Hyderabad,Chennai,2026-09-18,146,Boeing 737,290,184,1652136,999874
F0247,MAA-BOM,Chennai,Mumbai,2026-03-26,150,Boeing 737,220,105,1746255,1300089
F0248,MAA-BOM,Chennai,Mumbai,2026-01-04,80,Boeing 787,189,102,628728,383710
F0249,MAA-BOM,Chennai,Mumbai,2026-07-21,79,Airbus A320,220,187,1301333,1184718
F0250,BOM-SIN,Mumbai,Singapore,2026-04-01,240,Airbus A321,220,182,1371734,1349071
F0251,BOM-DEL,Mumbai,Delhi,2026-08-07,269,Airbus A320,220,157,1577379,1625726
F0252,DEL-BLR,Delhi,Bengaluru,2026-07-09,146,Boeing 737,189,93,1546497,1400157
F0253,BOM-SIN,Mumbai,Singapore,2026-03-02,98,ATR 72,72,39,327678,215306
F0254,BLR-HYD,Bengaluru,Hyderabad,2026-08-31,121,Boeing 787,290,153,1567485,1346803
F0255,DEL-BLR,Delhi,Bengaluru,2026-10-06,118,Boeing 737,220,204,1962276,2031462
F0256,BOM-DEL,Mumbai,Delhi,2026-07-16,214,Airbus A320,220,201,1807794,1981991
F0257,BOM-DEL,Mumbai,Delhi,2026-07-15,72,Boeing 787,189,116,2054244,1950053
F0258,BOM-SIN,Mumbai,Singapore,2026-04-24,108,Airbus A320,220,184,3182648,3060816
F0259,BOM-SIN,Mumbai,Singapore,2026-11-05,165,Boeing 737,180,114,1832664,1136345
F0260,BOM-SIN,Mumbai,Singapore,2026-09-03,256,Boeing 737,290,203,2396009,2177119
F0261,BOM-SIN,Mumbai,Singapore,2026-08-10,288,Boeing 737,220,121,1408440,1132763
F0262,DEL-BLR,Delhi,Bengaluru,2026-08-24,264,Boeing 737,189,96,1444128,1199904
F0263,MAA-BOM,Chennai,Mumbai,2026-07-28,126,Airbus A320,180,139,862217,826523
F0264,BOM-SIN,Mumbai,Singapore,2026-10-23,109,ATR 72,72,63,926415,574986
F0265,CCU-DEL,Kolkata,Delhi,2026-08-22,122,Boeing 787,290,167,1157310,840090
F0266,HYD-MAA,Hyderabad,Chennai,2026-11-16,114,Airbus A321,290,206,2671820,2635555
F0267,DEL-BLR,Delhi,Bengaluru,2026-04-14,92,Airbus A320,180,131,2168181,2059795
F0268,BOM-SIN,Mumbai,Singapore,2026-09-05,97,ATR 72,72,32,377472,359633
F0269,BOM-SIN,Mumbai,Singapore,2026-03-16,291,Boeing 737,180,178,1236922,1236438
F0270,MAA-BOM,Chennai,Mumbai,2026-11-05,85,Airbus A320,189,143,2440724,1815196
F0271,BLR-HYD,Bengaluru,Hyderabad,2026-09-25,121,Boeing 737,180,118,1664272,1000348
F0272,MAA-BOM,Chennai,Mumbai,2026-01-23,85,ATR 72,72,62,459358,471628
F0273,DEL-BLR,Delhi,Bengaluru,2026-01-29,293,Boeing 737,189,101,1181397,827712
F0274,BLR-HYD,Bengaluru,Hyderabad,2026-08-26,86,ATR 72,72,60,402960,377046
